,id,cast,director
64,767,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",['David Yates']
65,263115,"['Hugh Jackman', 'Dafne Keen', 'Patrick Stewart']",['James Mangold']
66,12,"['Albert Brooks', 'Ellen DeGeneres', 'Alexander Gould']",['Andrew Stanton']
67,346364,"['Jaeden Martell', 'Sophia Lillis', 'Jack Dylan Grazer']",['Andy Muschietti']
68,245891,"['Keanu Reeves', 'Michael Nyqvist', 'Ian McShane']",['Chad Stahelski']
69,259316,"['Eddie Redmayne', 'Katherine Waterston', 'Dan Fogler']",['David Yates']
70,12444,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint']",['David Yates']
71,354912,"['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",['Lee Unkrich']
72,100402,"['Chris Evans', 'Scarlett Johansson', 'Sebastian Stan']","['Joe Russo', 'Anthony Russo']"
73,557,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst']",['Sam Raimi']
74,10681,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",['Andrew Stanton']
75,210577,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']",['David Fincher']
76,49051,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",['Peter Jackson']
77,585,"['John Goodman', 'Billy Crystal', 'Mary Gibbs']",['Pete Docter']
78,862,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",['John Lasseter']
79,281957,"['Leonardo DiCaprio', 'Tom Hardy', 'Domhnall Gleeson']",['Alejandro González Iñárritu']
80,209112,"['Ben Affleck', 'Henry Cavill', 'Jesse Eisenberg']",['Zack Snyder']
81,8587,"['Matthew Broderick', 'Moira Kelly', 'Nathan Lane']","['Roger Allers', 'Rob Minkoff']"
82,98,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']",['Ridley Scott']
83,37165,"['Jim Carrey', 'Laura Linney', 'Noah Emmerich']",['Peter Weir']
84,9806,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell']",['Brad Bird']
85,329865,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']",['Denis Villeneuve']
86,496243,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",['Bong Joon-ho']
87,76338,"['Chris Hemsworth', 'Natalie Portman', 'Tom Hiddleston']",['Alan Taylor']
88,1930,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb']
89,381288,"['James McAvoy', 'Anya Taylor-Joy', 'Betty Buckley']",['M. Night Shyamalan']
90,383498,"['Ryan Reynolds', 'Josh Brolin', 'Morena Baccarin']",['David Leitch']
91,694,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",['Stanley Kubrick']
92,24,"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox']",['Quentin Tarantino']
93,101299,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
94,77338,"['François Cluzet', 'Omar Sy', 'Dominique Henry']","['Éric Toledano', 'Olivier Nakache']"
95,419430,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford']",['Jordan Peele']
96,205596,"['Benedict Cumberbatch', 'Keira Knightley', 'Matthew Goode']",['Morten Tyldum']
97,424694,"['Rami Malek', 'Gwilym Lee', 'Ben Hardy']",['Bryan Singer']
98,497,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']",['Frank Darabont']
99,198663,"[""Dylan O'Brien"", 'Kaya Scodelario', 'Ki Hong Lee']",['Wes Ball']
100,18785,"['Bradley Cooper', 'Ed Helms', 'Zach Galifianakis']",['Todd Phillips']
101,1891,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Irvin Kershner']
102,808,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz']","['Vicky Jenson', 'Andrew Adamson']"
103,2062,"['Patton Oswalt', 'Lou Romano', 'Ian Holm']",['Brad Bird']
104,207703,"['Taron Egerton', 'Colin Firth', 'Samuel L. Jackson']",['Matthew Vaughn']
105,313369,"['Ryan Gosling', 'Emma Stone', 'John Legend']",['Damien Chazelle']
106,109445,"['Kristen Bell', 'Idina Menzel', 'Jonathan Groff']","['Chris Buck', 'Jennifer Lee']"
107,374720,"['Fionn Whitehead', 'Tom Hardy', 'Mark Rylance']",['Christopher Nolan']
108,269149,"['Jason Bateman', 'Ginnifer Goodwin', 'Idris Elba']","['Byron Howard', 'Rich Moore']"
109,240832,"['Scarlett Johansson', 'Morgan Freeman', 'Choi Min-sik']",['Luc Besson']
110,329,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum']",['Steven Spielberg']
111,274,"['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']",['Jonathan Demme']
112,129,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",['Hayao Miyazaki']
113,321612,"['Emma Watson', 'Dan Stevens', 'Luke Evans']",['Bill Condon']
114,58,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski']
115,177572,"['Scott Adsit', 'Ryan Potter', 'Daniel Henney']","['Chris Williams', 'Don Hall']"
116,75656,"['Jesse Eisenberg', 'Mark Ruffalo', 'Woody Harrelson']",['Louis Leterrier']
117,131631,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth']",['Francis Lawrence']
118,335983,"['Tom Hardy', 'Michelle Williams', 'Riz Ahmed']",['Ruben Fleischer']
119,1124,"['Hugh Jackman', 'Christian Bale', 'Michael Caine']",['Christopher Nolan']
120,6479,"['Will Smith', 'Alice Braga', 'Charlie Tahan']",['Francis Lawrence']
121,857,"['Tom Hanks', 'Tom Sizemore', 'Edward Burns']",['Steven Spielberg']
122,299537,"['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn']","['Ryan Fleck', 'Anna Boden']"
123,339403,"['Ansel Elgort', 'Kevin Spacey', 'Lily James']",['Edgar Wright']
124,424,"['Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes']",['Steven Spielberg']
125,1892,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher']",['Richard Marquand']
126,429617,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal']",['Jon Watts']
127,37724,"['Daniel Craig', 'Judi Dench', 'Javier Bardem']",['Sam Mendes']
128,49047,"['Sandra Bullock', 'George Clooney', 'Ed Harris']",['Alfonso Cuarón']
129,127585,"['Hugh Jackman', 'James McAvoy', 'Michael Fassbender']",['Bryan Singer']
130,333339,"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']",['Steven Spielberg']
131,72190,"['Brad Pitt', 'Mireille Enos', 'Daniella Kertesz']",['Marc Forster']
132,640,"['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']",['Steven Spielberg']
133,330459,"['Felicity Jones', 'Diego Luna', 'Alan Tudyk']",['Gareth Edwards']
134,181808,"['Mark Hamill', 'Carrie Fisher', 'Adam Driver']",['Rian Johnson']
135,49521,"['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder']
136,20352,"['Steve Carell', 'Miranda Cosgrove', 'Dana Gaier']","['Chris Renaud', 'Pierre Coffin']"
137,558,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi']
138,324857,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']","['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']"
139,118,"['Johnny Depp', 'Freddie Highmore', 'David Kelly']",['Tim Burton']
140,244786,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",['Damien Chazelle']
141,1422,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']",['Martin Scorsese']
142,120467,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']",['Wes Anderson']
143,10193,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",['Lee Unkrich']
144,77,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",['Christopher Nolan']
145,38,"['Jim Carrey', 'Kate Winslet', 'Kirsten Dunst']",['Michel Gondry']
146,101,"['Jean Reno', 'Natalie Portman', 'Gary Oldman']",['Luc Besson']
147,44214,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel']",['Darren Aronofsky']
148,752,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea']",['James McTeigue']
149,1893,"['Liam Neeson', 'Ewan McGregor', 'Natalie Portman']",['George Lucas']
150,152601,"['Joaquin Phoenix', 'Scarlett Johansson', 'Amy Adams']",['Spike Jonze']
151,285,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski']
152,122917,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage']",['Peter Jackson']
153,500,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen']",['Quentin Tarantino']
154,273248,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh']",['Quentin Tarantino']
155,348,"['Tom Skerritt', 'Sigourney Weaver', 'Veronica Cartwright']",['Ridley Scott']
156,10528,"['Robert Downey Jr.', 'Jude Law', 'Rachel McAdams']",['Guy Ritchie']
157,12155,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",['Tim Burton']
158,1865,"['Johnny Depp', 'Penélope Cruz', 'Geoffrey Rush']",['Rob Marshall']
159,559,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi']
160,447332,"['John Krasinski', 'Emily Blunt', 'Millicent Simmonds']",['John Krasinski']
161,297802,"['Jason Momoa', 'Amber Heard', 'Willem Dafoe']",['James Wan']
162,393,"['Uma Thurman', 'David Carradine', 'Daryl Hannah']",['Quentin Tarantino']
163,920,"['Owen Wilson', 'Larry the Cable Guy', 'Bonnie Hunt']",['John Lasseter']
164,863,"['Tom Hanks', 'Tim Allen', 'Joan Cusack']",['John Lasseter']
